trade_date,sequence,symbol,side,quantity,price,turnover,brokerage,stt_buy,stt_sell,exchange_transaction_charge,sebi_turnover_charge,gst,stamp_duty,dp_charges,total_cost,allocation_note
2016-04-04,1,INFY,BUY,27,607.08,16391.16,0,16.39,0,0.50,0.01,0.09,2.46,0,19.45,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-04-04,2,HINDALCO,BUY,190,87.49,16623.10,0,16.63,0,0.51,0.02,0.10,2.49,0,19.75,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-04-04,3,TCS,BUY,13,1228.61,15971.93,0,15.98,0,0.49,0.02,0.09,2.40,0,18.98,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-04-18,1,INFY,SELL,27,624.69,16866.63,0,0.00,17.00,0.52,0.01,0.09,0.00,15.34,32.96,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-04-18,2,BANKBARODA,BUY,115,151.18,17385.70,0,17.00,0.00,0.53,0.02,0.10,2.61,0.00,20.26,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-04-25,1,TCS,SELL,13,1200.55,15607.15,0,0.00,16.00,0.48,0.01,0.09,0.00,15.34,31.92,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-04-25,2,AXISBANK,BUY,33,474.24,15649.92,0,16.00,0.00,0.48,0.02,0.09,2.35,0.00,18.94,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-05-23,1,BANKBARODA,SELL,115,135.73,15608.95,0,0.00,16.00,0.48,0.01,0.09,0.00,15.34,31.92,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-05-23,2,BPCL,BUY,102,154.54,15763.08,0,16.00,0.00,0.48,0.02,0.09,2.36,0.00,18.95,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-07-18,1,BPCL,SELL,102,185.24,18894.48,0,0.00,19.00,0.58,0.02,0.11,0.00,15.34,35.05,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-07-18,2,BAJAJFINSV,BUY,77,243.62,18758.74,0,19.00,0.00,0.58,0.02,0.11,2.81,0.00,22.52,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-07-25,1,AXISBANK,SELL,33,518.24,17101.92,0,0.00,17.00,0.52,0.02,0.10,0.00,15.34,32.98,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-07-25,2,LT,BUY,16,1048.52,16776.32,0,17.00,0.00,0.52,0.01,0.09,2.52,0.00,20.14,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-08-01,1,LT,SELL,16,1038.85,16621.60,0,0.00,17.00,0.51,0.01,0.09,0.00,15.34,32.95,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-08-01,2,ASIANPAINT,BUY,15,1120.16,16802.40,0,17.00,0.00,0.52,0.02,0.10,2.52,0.00,20.16,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-08-08,1,ASIANPAINT,SELL,15,1152.42,17286.30,0,0.00,17.00,0.53,0.01,0.10,0.00,15.34,32.98,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-08-08,2,JINDALSTEL,BUY,208,83.74,17417.92,0,17.00,0.00,0.54,0.02,0.10,2.61,0.00,20.27,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-10-03,1,JINDALSTEL,SELL,208,76.96,16007.68,0,0.00,16.00,0.49,0.02,0.09,0.00,15.34,31.94,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-10-03,2,MARUTI,BUY,2,5663.83,11327.66,0,11.00,0.00,0.35,0.01,0.07,1.70,0.00,13.13,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-11-15,1,MARUTI,SELL,2,5099.35,10198.70,0,0.00,10.00,0.31,0.01,0.06,0.00,15.34,25.72,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-11-15,2,SBIN,BUY,53,275.29,14590.37,0,15.00,0.00,0.45,0.01,0.08,2.19,0.00,17.73,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-12-05,1,BAJAJFINSV,SELL,77,298.85,23011.45,0,0.00,23.00,0.71,0.03,0.13,0.00,15.34,39.21,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-12-05,2,BPCL,BUY,113,201.73,22795.49,0,23.00,0.00,0.70,0.02,0.13,3.42,0.00,27.27,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2017-01-02,1,SBIN,SELL,53,252.37,13375.61,0,0.00,13.00,0.41,0.02,0.08,0.00,15.34,28.85,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2017-01-02,2,TECHM,BUY,27,494.75,13358.25,0,13.00,0.00,0.41,0.01,0.07,2.00,0.00,15.49,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2017-01-16,1,BPCL,SELL,113,220.77,24947.01,0,0.00,25.00,0.76,0.03,0.14,0.00,15.34,41.27,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2017-01-16,2,JINDALSTEL,BUY,302,78.54,23719.08,0,24.00,0.00,0.73,0.02,0.14,3.56,0.00,28.45,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2017-01-30,1,JINDALSTEL,SELL,302,79.36,23966.72,0,0.00,24.00,0.74,0.02,0.14,0.00,15.34,40.24,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2017-01-30,2,BANKBARODA,BUY,148,167.18,24742.64,0,25.00,0.00,0.76,0.03,0.14,3.71,0.00,29.64,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2017-02-13,1,BANKBARODA,SELL,148,182.71,27041.08,0,0.00,27.01,0.83,0.04,0.16,0.00,15.34,43.38,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2017-02-13,2,HINDALCO,SELL,190,184.41,35037.90,0,0.00,34.99,1.07,0.03,0.20,0.00,15.34,51.63,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2017-02-13,3,TITAN,BUY,58,432.22,25068.76,0,24.85,0.00,0.77,0.02,0.14,3.76,0.00,29.54,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2017-02-13,4,JINDALSTEL,BUY,277,91.60,25373.20,0,25.15,0.00,0.78,0.02,0.14,3.81,0.00,29.90,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2017-02-20,1,TECHM,SELL,27,503.30,13589.10,0,0.00,14.00,0.42,0.01,0.08,0.00,15.34,29.85,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2017-02-20,2,BAJAJFINSV,BUY,69,367.18,25335.42,0,25.00,0.00,0.77,0.03,0.14,3.80,0.00,29.74,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2017-05-22,1,BAJAJFINSV,SELL,69,419.84,28968.96,0,0.00,28.74,0.89,0.02,0.16,0.00,15.34,45.15,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2017-05-22,2,TITAN,SELL,58,473.76,27478.08,0,0.00,27.26,0.84,0.03,0.16,0.00,15.34,43.63,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2017-05-22,3,KOTAKBANK,BUY,150,188.59,28288.50,0,28.08,0.00,0.87,0.03,0.16,4.24,0.00,33.38,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2017-05-22,4,ASIANPAINT,BUY,25,1124.81,28120.25,0,27.92,0.00,0.86,0.03,0.16,4.22,0.00,33.19,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2017-05-29,1,JINDALSTEL,SELL,277,126.94,35162.38,0,0.00,35.00,1.08,0.03,0.20,0.00,15.34,51.65,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2017-05-29,2,LT,BUY,25,1189.86,29746.50,0,30.00,0.00,0.91,0.03,0.17,4.46,0.00,35.57,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2017-06-05,1,ASIANPAINT,SELL,25,1164.42,29110.50,0,0.00,29.00,0.89,0.03,0.17,0.00,15.34,45.43,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2017-06-05,2,MARUTI,BUY,4,7143.37,28573.48,0,29.00,0.00,0.88,0.03,0.16,4.29,0.00,34.36,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2017-07-03,1,LT,SELL,25,1124.77,28119.25,0,0.00,28.00,0.86,0.03,0.16,0.00,15.34,44.39,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2017-07-03,2,HDFCBANK,BUY,73,413.36,30175.28,0,30.00,0.00,0.93,0.03,0.17,4.53,0.00,35.66,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2017-07-24,1,HDFCBANK,SELL,73,427.29,31192.17,0,0.00,31.00,0.96,0.03,0.18,0.00,15.34,47.51,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2017-07-24,2,JINDALSTEL,BUY,232,137.07,31800.24,0,32.00,0.00,0.97,0.03,0.18,4.77,0.00,37.95,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2017-08-07,1,KOTAKBANK,SELL,150,199.93,29989.50,0,0.00,30.00,0.92,0.03,0.17,0.00,15.34,46.46,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2017-08-07,2,TITAN,BUY,53,608.30,32239.90,0,32.00,0.00,0.99,0.03,0.18,4.84,0.00,38.04,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2017-08-28,1,MARUTI,SELL,4,7645.18,30580.72,0,0.00,31.00,0.94,0.03,0.17,0.00,15.34,47.48,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2017-08-28,2,BAJAJFINSV,BUY,56,555.98,31134.88,0,31.00,0.00,0.95,0.03,0.18,4.67,0.00,36.83,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2017-10-03,1,JINDALSTEL,SELL,232,135.73,31489.36,0,0.00,31.00,0.97,0.03,0.18,0.00,15.34,47.52,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2017-10-03,2,TECHM,BUY,67,457.03,30621.01,0,31.00,0.00,0.94,0.03,0.17,4.59,0.00,36.73,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2017-10-23,1,BAJAJFINSV,SELL,56,527.24,29525.44,0,0.00,30.00,0.90,0.03,0.17,0.00,15.34,46.44,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2017-10-23,2,HINDALCO,BUY,110,274.79,30226.90,0,30.00,0.00,0.93,0.03,0.17,4.53,0.00,35.66,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2017-11-27,1,HINDALCO,SELL,110,250.77,27584.70,0,0.00,28.00,0.85,0.03,0.16,0.00,15.34,44.38,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2017-11-27,2,JINDALSTEL,BUY,159,173.34,27561.06,0,28.00,0.00,0.84,0.03,0.16,4.13,0.00,33.16,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2017-12-18,1,JINDALSTEL,SELL,159,162.62,25856.58,0,0.00,25.80,0.79,0.03,0.15,0.00,15.34,42.11,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2017-12-18,2,TECHM,SELL,67,496.75,33282.25,0,0.00,33.20,1.02,0.03,0.19,0.00,15.34,49.78,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
