date,session_type,source
2025-12-23,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-12-24,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-12-26,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-12-29,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-12-30,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2025-12-31,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-01-01,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-01-02,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-01-05,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-01-06,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-01-07,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-01-08,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-01-09,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-01-12,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-01-13,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-01-14,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-01-16,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-01-19,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-01-20,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-01-21,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-01-22,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-01-23,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-01-27,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-01-28,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-01-29,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-01-30,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-02-01,SPECIAL,SPECIAL: Union Budget Sunday trading; UDiFF archive exists
2026-02-02,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-02-03,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-02-04,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-02-05,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-02-06,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-02-09,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-02-10,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-02-11,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-02-12,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-02-13,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-02-16,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-02-17,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-02-18,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-02-19,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-02-20,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-02-23,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-02-24,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-02-25,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-02-26,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-02-27,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-03-02,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-03-04,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-03-05,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-03-06,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-03-09,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-03-10,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-03-11,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-03-12,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-03-13,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-03-16,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-03-17,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-03-18,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-03-19,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-03-20,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-03-23,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-03-24,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-03-25,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-03-27,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-03-30,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-04-01,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-04-02,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-04-06,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-04-07,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-04-08,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-04-09,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-04-10,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-04-13,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-04-15,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-04-16,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-04-17,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-04-20,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-04-21,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-04-22,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-04-23,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-04-24,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-04-27,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-04-28,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-04-29,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-04-30,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
2026-05-04,NORMAL,"NSE CM trading-holiday API, weekday minus holidays"
