trade_date,sequence,symbol,side,quantity,price,turnover,brokerage,stt_buy,stt_sell,exchange_transaction_charge,sebi_turnover_charge,gst,stamp_duty,dp_charges,total_cost,allocation_note
2016-04-04,1,INFY,BUY,41,607.08,24890.28,0,24.98,0,0.76,0.02,0.14,3.73,0,29.63,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-04-04,2,HINDALCO,BUY,285,87.49,24934.65,0,25.02,0,0.77,0.03,0.14,3.74,0,29.70,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-04-18,1,INFY,SELL,41,624.69,25612.29,0,0.00,26.00,0.79,0.03,0.15,0.00,15.34,42.31,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-04-18,2,BANKBARODA,BUY,169,151.18,25549.42,0,26.00,0.00,0.78,0.02,0.14,3.83,0.00,30.77,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-05-23,1,BANKBARODA,SELL,169,135.73,22938.37,0,0.00,23.00,0.70,0.03,0.13,0.00,15.34,39.20,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-05-23,2,AXISBANK,BUY,46,495.65,22799.90,0,23.00,0.00,0.70,0.02,0.13,3.42,0.00,27.27,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-05-30,1,AXISBANK,SELL,46,513.69,23629.74,0,0.00,24.00,0.73,0.03,0.14,0.00,15.34,40.24,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-05-30,2,LT,BUY,24,980.42,23530.08,0,24.00,0.00,0.72,0.02,0.13,3.53,0.00,28.40,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-06-06,1,LT,SELL,24,974.71,23393.04,0,0.00,23.00,0.72,0.03,0.14,0.00,15.34,39.23,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-06-06,2,AXISBANK,BUY,43,542.37,23321.91,0,23.00,0.00,0.71,0.02,0.13,3.50,0.00,27.36,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-06-20,1,AXISBANK,SELL,43,514.74,22133.82,0,0.00,22.00,0.68,0.02,0.12,0.00,15.34,38.16,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-06-20,2,BAJAJFINSV,BUY,109,203.87,22221.83,0,22.00,0.00,0.68,0.02,0.13,3.33,0.00,26.16,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-09-19,1,HINDALCO,SELL,285,143.03,40763.55,0,0.00,41.00,1.25,0.04,0.23,0.00,15.34,57.86,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-09-19,2,MARUTI,BUY,6,5571.78,33430.68,0,33.00,0.00,1.03,0.03,0.19,5.01,0.00,39.26,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-11-15,1,BAJAJFINSV,SELL,109,302.85,33010.65,0,0.00,33.21,1.02,0.04,0.19,0.00,15.34,49.80,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2016-11-15,2,MARUTI,SELL,6,5099.35,30596.10,0,0.00,30.79,0.94,0.03,0.18,0.00,15.34,47.28,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
