trade_date,sequence,symbol,side,quantity,price,turnover,brokerage,stt_buy,stt_sell,exchange_transaction_charge,sebi_turnover_charge,gst,stamp_duty,dp_charges,total_cost,allocation_note
2021-01-11,1,JINDALSTEL,SELL,1,294.85,294.85,0,0,0,0.01,0,0,0,15.34,15.35,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2021-01-18,1,KOTAKBANK,SELL,20,373.91,7478.20,0,0.00,7.00,0.23,0.01,0.05,0.00,15.34,22.63,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2021-01-18,2,BANKBARODA,BUY,105,75.49,7926.45,0,8.12,0.00,0.24,0.01,0.04,1.19,0.00,9.60,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2021-01-18,3,BAJAJFINSV,BUY,1,864.04,864.04,0,0.88,0.00,0.03,0.00,0.00,0.13,0.00,1.04,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2021-01-25,1,BANKBARODA,SELL,5,74.56,372.80,0,0,0.57,0.01,0,0,0,15.34,15.92,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2021-01-25,2,JINDALSTEL,SELL,1,286.86,286.86,0,0,0.43,0.01,0,0,0,15.34,15.78,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2021-02-01,1,BANKBARODA,BUY,4,68.98,275.92,0,0.51,0,0.01,0,0,0.04,0,0.56,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2021-02-01,2,JINDALSTEL,BUY,1,262.13,262.13,0,0.49,0,0.01,0,0,0.04,0,0.54,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2021-02-08,1,BANKBARODA,SELL,18,83.46,1502.28,0,0,1.34,0.04,0,0.00,0,15.34,16.72,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2021-02-08,2,BAJAJFINSV,SELL,1,974.51,974.51,0,0,0.86,0.03,0,0.01,0,15.34,16.24,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2021-02-08,3,JINDALSTEL,SELL,3,302.05,906.15,0,0,0.80,0.03,0,0.01,0,15.34,16.18,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2021-02-15,1,JINDALSTEL,SELL,24,310.84,7460.16,0,0.00,7.03,0.23,0.01,0.04,0.00,15.34,22.65,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2021-02-15,2,BAJAJFINSV,SELL,1,1032.50,1032.50,0,0.00,0.97,0.03,0.00,0.01,0.00,15.34,16.35,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2021-02-15,3,BANKBARODA,BUY,5,79.14,395.70,0,0.42,0.00,0.01,0.00,0.00,0.06,0.00,0.49,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2021-02-15,4,SBIN,BUY,18,397.70,7158.60,0,7.58,0.00,0.22,0.01,0.04,1.07,0.00,8.92,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2021-02-22,1,BAJAJFINSV,SELL,7,1022.49,7157.43,0,0.00,6.94,0.22,0.01,0.04,0.00,15.34,22.55,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2021-02-22,2,BANKBARODA,SELL,12,91.35,1096.20,0,0.00,1.06,0.03,0.00,0.01,0.00,15.34,16.44,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2021-02-22,3,HINDALCO,BUY,23,310.16,7133.68,0,7.00,0.00,0.22,0.01,0.04,1.07,0.00,8.34,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2021-03-01,1,HINDALCO,SELL,2,341.83,683.66,0,0,1.00,0.02,0,0.01,0.00,15.34,16.37,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2021-03-01,2,BANKBARODA,BUY,3,85.44,256.32,0,0,0.00,0.01,0,0.00,0.04,0.00,0.05,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2021-03-08,1,BANKBARODA,BUY,4,82.04,328.16,0,0,0,0.01,0,0,0.05,0,0.06,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2021-03-15,1,BANKBARODA,SELL,86,77.91,6700.26,0,0.00,7.00,0.20,0.00,0.04,0.00,15.34,22.58,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
2021-03-15,2,AXISBANK,BUY,9,754.38,6789.42,0,7.00,0.00,0.21,0.01,0.04,1.02,0.00,8.28,REPORTING ALLOCATION; DAILY TOTAL IS AUTHORITATIVE
